Jerusalem B-Jerusalem B-Jerusalem
also O O
regard O O
the O O
site O O
as O O
a O O
shrine O O
because O O
, O O
according O O
to O O
them O O
, O O
Rabbi O O
Ashi O O
lived O O
there O O
in O O
the O O
5th O O
century O O
. O O
The O O
Israeli O O
army O O
had O O
previously O O
carried O O
out O O
operations O O
inside O O
Lebanese O O
territory O O
in O O
the O O
same O O
border O O
region O O
on O O
August O O
11 O O
. O O
Last O O
Friday O O
, O O
an O O
Israeli O O
bulldozer O O
crossed O O
the O O
wire O O
fence O O
in O O
Wadi B---NME-- O
Marjayoun I---NME-- O
near O O
the O O
Israeli O O
village O O
of O O
Matla O O
and O O
spread O O
sand O O
over O O
a O O
length O O
of O O
hundreds O O
of O O
meters O O
and O O
a O O
width O O
of O O
six O O
meters O O
in O O
order O O
to O O
expose O O
the O O
footprints O O
of O O
people O O
crossing O O
the O O
border O O
or O O
tire O O
prints O O
of O O
cars O O
from O O
the O O
Lebanese O O
side O O
. O O
Beirut B-Beirut B-Beirut
10 O O
- O O
15 O O
( O O
AFP B-Agence_France-Presse O
) O O
- O O
The O O
Saudi B---NME-- O
Soccer I---NME-- O
Federation I---NME-- O
sacked O O
the O O
team O O
' O O
s O O
Czech O O
coach O O
Milan O O
Machala O O
from O O
his O O
post O O
today O O
Sunday O O
and O O
appointed O O
his O O
assistant O O
, O O
Nasser O O
Jawhar O O
, O O
in O O
his O O
place O O
. O O
The O O
title O O
- O O
holding O O
Saudi O O
team O O
suffered O O
a O O
bitter O O
defeat O O
( O O
1 O O
- O O
4 O O
) O O
against O O
its O O
Japanese O O
counterpart O O
in O O
its O O
first O O
match O O
in O O
the O O
championship O O
yesterday O O
Saturday O O
. O O
The O O
Youth B---NME-- O
and I---NME-- O
Sports I---NME-- O
Bureau I---NME-- O
in O O
Saudi O O
Arabia O O
released O O
a O O
statement O O
saying O O
: O O
Prince O O
Sultan O O
Ben O O
Fahd O O
, O O
president O O
of O O
the O O
Youth O O
and O O
Sports O O
Bureau O O
and O O
president O O
of O O
the O O
Saudi O O
Soccer O O
Federation O O
, O O
has O O
issued O O
a O O
decision O O
by O O
order O O
of O O
which O O
Czech O O
coach O O
Machala O O
has O O
been O O
discharged O O
and O O
Nasser O O
Jawhar O O
has O O
been O O
placed O O
in O O
charge O O
of O O
training O O
the O O
team O O
during O O
the O O
championship O O
. O O
He O O
carried O O
on O O
: O O
This O O
decision O O
is O O
the O O
result O O
of O O
the O O
Saudi O O
Federation O O
ensuring O O
the O O
best O O
technical O O
conditions O O
for O O
the O O
team O O
in O O
order O O
to O O
reflect O O
the O O
true O O
level O O
of O O
Saudi O O
soccer O O
. O O
In O O
a O O
telephone O O
call O O
with O O
Agence O O
France O O
Presse O O
at O O
his O O
hotel O O
, O O
Machala O O
refused O O
to O O
give O O
his O O
opinion O O
regarding O O
the O O
decision O O
and O O
said O O
no O O
comment O O
. O O
Machala O O
is O O
the O O
first O O
victim O O
of O O
the O O
12th O O
Asian O O
Nations O O
Cup O O
finals O O
hosted O O
by O O
Lebanon B-Lebanon B-Lebanon
until O O
this O O
October O O
29 O O
as O O
the O O
Japanese O O
blow O O
was O O
fatal O O
, O O
especially O O
since O O
the O O
Saudi O O
team O O
holds O O
the O O
title O O
from O O
the O O
previous O O
series O O
in O O
the O O
Emirates B-United_Arab_Emirates B-Emirates_(airline)
in O O
1996 O O
. O O
Machala O O
took O O
over O O
training O O
the O O
Saudi O O
team O O
in O O
February O O
1999 O O
and O O
led O O
it O O
in O O
the O O
Continents O O
Championship O O
hosted O O
by O O
Mexico B-Mexico B-Mexico
in O O
July O O
of O O
that O O
year O O
. O O
Machala O O
is O O
considered O O
one O O
of O O
the O O
best O O
- O O
known O O
coaches O O
in O O
the O O
Gulf O O
region O O
and O O
has O O
achieved O O
remarkable O O
results O O
with O O
the O O
Kuwaiti O O
team O O
, O O
which O O
he O O
led O O
to O O
win O O
the O O
Gulf O O
Cup O O
on O O
two O O
occasions O O
and O O
to O O
take O O
fourth O O
place O O
in O O
the O O
last O O
Asian O O
Nations O O
Championship O O
in O O
the O O
Emirates O O
, O O
as O O
well O O
as O O
second O O
place O O
in O O
the O O
Asian O O
Games O O
in O O
Bangkok B-Bangkok B-Bangkok
in O O
late O O
1998 O O
. O O
London B-London B-London
10 O O
- O O
16 O O
( O O
AFP B-Agence_France-Presse O
) O O
- O O
A O O
Saudi O O
Airways O O
spokesman O O
in O O
London O O
announced O O
that O O
passengers O O
on O O
the O O
Saudi O O
777 O O
Boeing O O
, O O
hijacked O O
to O O
Baghdad B-Baghdad B-Baghdad
on O O
Saturday O O
and O O
which O O
arrived O O
in O O
Riyadh B-Riyadh B-Riyadh
yesterday O O
evening O O
Sunday O O
, O O
left O O
the O O
Saudi O O
capital O O
for O O
London O O
at O O
2h43 O O
local O O
time O O
( O O
GMT O O
22h43 O O
) O O
, O O
approximately O O
30 O O
hours O O
after O O
the O O
hijacking O O
operation O O
by O O
two O O
Saudi O O
hijackers O O
began O O
. O O
The O O
Boeing O O
arrived O O
at O O
Riyadh B-King_Khalid_International_Airport O
International I-King_Khalid_International_Airport O
Airport I-King_Khalid_International_Airport O
at O O
21h30 O O
yesterday O O
Sunday O O
from O O
Baghdad O O
through O O
Jordanian O O
air O O
space O O
with O O
104 O O
passengers O O
on O O
board O O
, O O
including O O
14 O O
crew O O
members O O
. O O
Saudi O O
Airways O O
said O O
Saturday O O
that O O
40 O O
British O O
, O O
14 O O
Saudis O O
, O O
15 O O
Pakistanis O O
, O O
4 O O
Yemenis O O
and O O
4 O O
South O O
Africans O O
, O O
2 O O
Kenyans O O
and O O
an O O
American O O
, O O
Frenchman O O
, O O
Spaniard O O
, O O
Swiss O O
, O O
Swede O O
, O O
Nigerian O O
, O O
Indian O O
, O O
Omani O O
, O O
Palestinian O O
and O O
Lebanese O O
were O O
on O O
board O O
the O O
plane O O
. O O
Bandar B-Bandar_Seri_Begawan B-Bandar_Seri_Begawan
Seri I-Bandar_Seri_Begawan I-Bandar_Seri_Begawan
Begawan I-Bandar_Seri_Begawan I-Bandar_Seri_Begawan
11 O O
- O O
15 O O
( O O
AFP B-Agence_France-Presse O
) O O
- O O
American O O
President O O
Bill O O
Clinton O O
attempted O O
today O O
Wednesday O O
to O O
reassure O O
money O O
markets O O
about O O
doubts O O
caused O O
by O O
the O O
battle O O
between O O
the O O
Republicans O O
and O O
Democrats O O
on O O
the O O
result O O
of O O
the O O
presidential O O
elections O O
in O O
the O O
United O O
States O O
, O O
which O O
is O O
still O O
unknown O O
and O O
dependent O O
on O O
the O O
results O O
of O O
the O O
recount O O
in O O
the O O
State B-Florida B-Florida
of I-Florida I-Florida
Florida I-Florida I-Florida
. O O
Clinton O O
told O O
a O O
group O O
of O O
businessmen O O
on O O
the O O
periphery O O
of O O
the O O
Asia O O
- O O
Pacific O O
Economic O O
Cooperation O O
forum O O
in O O
Brunei B-Brunei B-Brunei
that O O
one O O
of O O
the O O
issues O O
both O O
Vice O O
- O O
President O O
Al O O
Gore O O
and O O
Governor O O
George O O
Bush O O
agree O O
on O O
in O O
these O O
elections O O
is O O
the O O
need O O
to O O
maintain O O
a O O
strong O O
and O O
pioneering O O
role O O
by O O
the O O
United O O
States O O
in O O
order O O
to O O
achieve O O
flourishing O O
trade O O
and O O
greater O O
integration O O
for O O
the O O
world O O
' O O
s O O
economy O O
[ O O
. O O
. O O
. O O
] O O
and O O
the O O
world O O
should O O
not O O
be O O
concerned O O
because O O
the O O
two O O
candidates O O
are O O
strongly O O
committed O O
to O O
following O O
this O O
path O O
. O O
The O O
American O O
stock O O
market O O
saw O O
an O O
upheaval O O
as O O
a O O
result O O
of O O
the O O
delay O O
in O O
announcing O O
the O O
final O O
results O O
of O O
the O O
presidential O O
elections O O
in O O
the O O
United O O
States O O
but O O
it O O
improved O O
on O O
Tuesday O O
. O O
Initial O O
results O O
in O O
Florida O O
on O O
Tuesday O O
evening O O
showed O O
Republican O O
candidate O O
George O O
Bush O O
to O O
be O O
300 O O
votes O O
ahead O O
of O O
Democrat O O
candidate O O
Al O O
Gore O O
but O O
some O O
voting O O
stations O O
were O O
still O O
recounting O O
votes O O
today O O
Wednesday O O
. O O
In O O
Brunei O O
, O O
President O O
Clinton O O
refused O O
to O O
make O O
any O O
predications O O
about O O
who O O
might O O
win O O
the O O
presidency O O
in O O
this O O
exceptional O O
election O O
battle O O
between O O
the O O
Democratic O O
and O O
Republican O O
candidates O O
. O O
He O O
said O O
we O O
must O O
be O O
careful O O
when O O
we O O
talk O O
about O O
predictions O O
; O O
the O O
only O O
thing O O
I O O
can O O
predict O O
with O O
confidence O O
is O O
that O O
I O O
will O O
not O O
be O O
taking O O
part O O
in O O
the O O
next O O
Apec O O
summit O O
next O O
year O O
and O O
at O O
present O O
, O O
I O O
can O O
' O O
t O O
say O O
who O O
will O O
be O O
representing O O
the O O
United O O
States O O
. O O
Gaza B-Gaza B-Gaza
11 O O
- O O
15 O O
( O O
AFP B-Agence_France-Presse O
) O O
- O O
A O O
Palestinian O O
medical O O
source O O
reported O O
today O O
Wednesday O O
that O O
more O O
than O O
fifteen O O
Palestinians O O
were O O
injured O O
this O O
morning O O
in O O
the O O
town O O
of O O
Rafah O O
in O O
the O O
southern O O
Gaza O O
Strip O O
in O O
clashes O O
with O O
the O O
Israeli O O
army O O
. O O
Medical O O
sources O O
said O O
at O O
least O O
15 O O
Palestinians O O
were O O
injured O O
by O O
live O O
bullets O O
fired O O
by O O
Israeli O O
soldiers O O
, O O
including O O
six O O
children O O
all O O
shot O O
in O O
the O O
head O O
. O O
Eyewitnesses O O
said O O
the O O
clashes O O
broke O O
out O O
when O O
the O O
Israeli O O
army O O
began O O
bulldozing O O
Palestinian O O
land O O
near O O
the O O
border O O
with O O
Egypt B-Egypt B-Egypt
and O O
opened O O
fire O O
randomly O O
on O O
Palestinian O O
citizens O O
when O O
they O O
threw O O
stones O O
at O O
the O O
soldiers O O
in O O
protest O O
. O O
An O O
Israeli O O
tank O O
also O O
fired O O
a O O
rocket O O
. O O
Elsewhere O O
, O O
Israeli O O
bulldozers O O
dug O O
up O O
dozens O O
of O O
hectares O O
of O O
Palestinian O O
farmland O O
near O O
the O O
village O O
of O O
Alkarara O O
( O O
near O O
the O O
Kosovim O O
checkpoint O O
) O O
last O O
night O O
for O O
the O O
second O O
day O O
in O O
a O O
row O O
, O O
destroying O O
two O O
houses O O
and O O
a O O
well O O
, O O
where O O
the O O
army O O
erected O O
a O O
new O O
military O O
camp O O
instead O O
. O O
The O O
town O O
' O O
s O O
authorities O O
said O O
last O O
night O O
the O O
Israeli O O
army O O
dug O O
up O O
several O O
hectares O O
planted O O
with O O
orange O O
trees O O
in O O
southern O O
Gaza O O
( O O
Nitsarim B-Netzarim_(settlement) O
) O O
. O O
The O O
bulldozing O O
of O O
land O O
began O O
the O O
night O O
before O O
last O O
when O O
an O O
Israeli O O
soldier O O
was O O
killed O O
in O O
a O O
shooting O O
incident O O
in O O
the O O
area O O
. O O
Bandar B-Bandar_Seri_Begawan B-Bandar_Seri_Begawan
Seri I-Bandar_Seri_Begawan I-Bandar_Seri_Begawan
Begawan I-Bandar_Seri_Begawan I-Bandar_Seri_Begawan
11 O O
- O O
15 O O
( O O
AFP B-Agence_France-Presse O
) O O
- O O
A O O
high O O
- O O
level O O
American O O
official O O
announced O O
today O O
Wednesday O O
in O O
the O O
wake O O
of O O
the O O
meeting O O
between O O
American O O
President O O
Bill O O
Clinton O O
and O O
his O O
Russian O O
counterpart O O
Vladimir O O
Putin O O
that O O
Putin O O
' O O
s O O
proposals O O
on O O
reducing O O
the O O
Russian O O
and O O
American O O
nuclear O O
capability O O
to O O
under O O
1500 O O
nuclear O O
heads O O
does O O
not O O
include O O
many O O
new O O
elements O O
. O O
The O O
official O O
who O O
wished O O
to O O
remain O O
anonymous O O
confirmed O O
we O O
have O O
paid O O
a O O
great O O
deal O O
of O O
attention O O
to O O
President O O
Putin O O
' O O
s O O
announcement O O
but O O
it O O
does O O
not O O
contain O O
many O O
new O O
elements O O
, O O
in O O
fact O O
just O O
a O O
few O O
new O O
disparities O O
which O O
require O O
further O O
examination O O
and O O
discussion O O
by O O
experts O O
. O O
Clinton O O
and O O
Putin O O
are O O
taking O O
part O O
in O O
the O O
Asia O O
- O O
Pacific O O
Economic O O
Cooperation O O
( O O
APEC O O
) O O
forum O O
in O O
Bandar O O
Seri O O
Begawan O O
the O O
capital O O
of O O
the O O
Sultanate B-Brunei B-Sultan
of I-Brunei O
Brunei I-Brunei B-Brunei
. O O
The O O
presidents O O
met O O
for O O
a O O
working O O
lunch O O
of O O
around O O
75 O O
minutes O O
. O O
The O O
American O O
official O O
stressed O O
that O O
what O O
is O O
important O O
in O O
Putin O O
' O O
s O O
proposal O O
is O O
that O O
it O O
falls O O
within O O
the O O
framework O O
adopted O O
by O O
the O O
United O O
States O O
and O O
Russia O O
to O O
discuss O O
strategic O O
issues O O
from O O
a O O
defensive O O
and O O
offensive O O
point O O
of O O
view O O
. O O
Putin O O
proposed O O
limiting O O
the O O
Russian O O
and O O
American O O
nuclear O O
capabilities O O
by O O
reducing O O
the O O
number O O
of O O
nuclear O O
heads O O
to O O
under O O
1500 O O
each O O
, O O
a O O
smaller O O
number O O
than O O
that O O
in O O
the O O
Russian O O
- O O
American O O
Start O O
- O O
3 O O
treaty O O
currently O O
being O O
negotiated O O
. O O
Putin O O
proposed O O
limiting O O
the O O
Russian O O
and O O
American O O
nuclear O O
capabilities O O
by O O
reducing O O
the O O
number O O
of O O
nuclear O O
heads O O
to O O
under O O
1500 O O
each O O
, O O
a O O
smaller O O
number O O
than O O
that O O
in O O
the O O
Russian O O
- O O
American O O
Start O O
- O O
3 O O
treaty O O
currently O O
being O O
negotiated O O
. O O
He O O
proposed O O
that O O
the O O
current O O
reduction O O
should O O
be O O
between O O
2500 O O
to O O
2000 O O
nuclear O O
heads O O
. O O
Putin O O
said O O
this O O
reduction O O
would O O
depend O O
on O O
compliance O O
with O O
the O O
Russian O O
- O O
American O O
anti O O
- O O
ABM O O
missile O O
treaty O O
signed O O
in O O
1972 O O
, O O
which O O
the O O
Americans O O
are O O
attempting O O
to O O
amend O O
to O O
set O O
up O O
anti O O
- O O
missile O O
defenses O O
( O O
NMD O O
) O O
. O O
Washington O O
has O O
so O O
far O O
confirmed O O
agreeing O O
to O O
the O O
2000 O O
to O O
2500 O O
nuclear O O
warhead O O
ceiling O O
. O O
The O O
United O O
States O O
has O O
not O O
taken O O
a O O
final O O
position O O
on O O
the O O
NMD O O
system O O
because O O
Clinton O O
, O O
whose O O
term O O
ends O O
in O O
January O O
, O O
is O O
leaving O O
the O O
decision O O
in O O
this O O
matter O O
to O O
his O O
successor O O
. O O
In O O
response O O
to O O
a O O
question O O
about O O
Republican O O
presidential O O
candidate O O
George O O
Bush O O
Junior O O
' O O
s O O
approach O O
to O O
deploying O O
the O O
NMD O O
system O O
, O O
more O O
ambitious O O
than O O
the O O
one O O
proposed O O
by O O
the O O
Clinton O O
administration O O
, O O
the O O
American O O
official O O
said O O
the O O
United O O
States O O
would O O
continue O O
" O O
complying O O
with O O
the O O
present O O
framework O O
" O O
in O O
these O O
strategic O O
discussions O O
. O O
He O O
added O O
while O O
this O O
framework O O
does O O
not O O
reflect O O
the O O
basic O O
interests O O
of O O
the O O
United O O
States O O
, O O
we O O
feel O O
it O O
is O O
still O O
a O O
valid O O
approach O O
in O O
our O O
discussions O O
with O O
Russia O O
on O O
this O O
matter O O
. O O
He O O
also O O
said O O
that O O
Clinton O O
raised O O
the O O
issue O O
of O O
the O O
transfer O O
of O O
sensitive O O
Russian O O
technology O O
to O O
Iran B-Iran B-Iran
, O O
adding O O
" O O
President O O
Putin O O
has O O
expressed O O
his O O
agreement O O
that O O
these O O
are O O
real O O
threats O O
and O O
is O O
strongly O O
committed O O
to O O
limiting O O
this O O
, O O
but O O
there O O
is O O
still O O
a O O
lot O O
of O O
work O O
to O O
do O O
" O O
in O O
this O O
area O O
. O O
Clinton O O
also O O
touched O O
on O O
the O O
matter O O
of O O
American O O
Edmond O O
Bob O O
who O O
is O O
being O O
tried O O
in O O
a O O
closed O O
court O O
in O O
Russia O O
on O O
charges O O
of O O
spying O O
. O O
The O O
United O O
States O O
believes O O
he O O
is O O
innocent O O
of O O
these O O
charges O O
and O O
is O O
demanding O O
his O O
release O O
on O O
humanitarian O O
grounds O O
. O O
The O O
official O O
said O O
Putin O O
understands O O
our O O
concern O O
and O O
we O O
hope O O
he O O
will O O
do O O
something O O
as O O
quickly O O
as O O
possible O O
. O O
Gaza B-Gaza B-Gaza
11 O O
- O O
15 O O
( O O
AFP B-Agence_France-Presse B-Agence_France-Presse
) O O
- O O
A O O
high O O
- O O
level O O
Palestinian O O
source O O
said O O
today O O
Wednesday O O
that O O
the O O
Palestinian B---NME-- O
Superior I---NME-- O
Security I---NME-- O
Council I---NME-- O
led O O
by O O
President O O
Yasser O O
Arafat O O
issued O O
orders O O
to O O
stop O O
shooting O O
inside O O
area B---NME-- O
' I---NME-- O
A I---NME-- O
' I---NME-- O
under O O
Palestinian O O
control O O
. O O
The O O
source O O
said O O
that O O
" O O
the O O
Palestinian O O
Superior O O
Security O O
Council O O
led O O
by O O
President O O
Yasser O O
Arafat O O
issued O O
orders O O
to O O
stop O O
unknown O O
armed O O
persons O O
from O O
shooting O O
inside O O
zone O O
" O O
A O O
" O O
under O O
complete O O
Palestinian O O
control O O
and O O
between O O
buildings O O
and O O
civilians O O
in O O
the O O
Palestinian O O
Territories O O
. O O
The O O
Palestinian O O
decision O O
comes O O
a O O
few O O
hours O O
before O O
discussions O O
between O O
Israeli O O
Prime O O
Minister O O
Ehud O O
Barak O O
and O O
his O O
top O O
security O O
advisors O O
to O O
explore O O
the O O
measures O O
to O O
be O O
taken O O
against O O
Palestinians O O
after O O
four O O
Israeli O O
soldiers O O
were O O
shot O O
in O O
Palestinian O O
areas O O
last O O
Monday O O
. O O
Camp B-Zeist B-Scottish_Court_in_the_Netherlands
Zeist I-Zeist I-Scottish_Court_in_the_Netherlands
( O O
Holland B-Holland B-Netherlands
) O O
11 O O
- O O
15 O O
( O O
AFP B-Agence_France-Presse O
) O O
- O O
Today O O
Wednesday O O
, O O
the O O
judges O O
in O O
charge O O
of O O
looking O O
into O O
the O O
Lockerbie O O
case O O
in O O
Camp O O
Zeist O O
( O O
Holland O O
) O O
were O O
faced O O
with O O
an O O
awkward O O
problem O O
: O O
how O O
to O O
deal O O
with O O
a O O
witness O O
who O O
is O O
refusing O O
to O O
answer O O
questions O O
and O O
who O O
is O O
at O O
the O O
same O O
time O O
serving O O
a O O
life O O
sentence O O
and O O
who O O
is O O
not O O
subject O O
to O O
Scottish O O
law O O
? O O
The O O
problem O O
arose O O
after O O
Palestinian O O
Mahmood O O
Abu O O
Talib O O
, O O
whose O O
testimony O O
the O O
court O O
has O O
been O O
hearing O O
since O O
Friday O O
, O O
refused O O
to O O
continue O O
answering O O
a O O
question O O
by O O
defense O O
lawyer O O
Richard O O
Keen O O
about O O
the O O
detailed O O
reasons O O
for O O
his O O
having O O
lived O O
in O O
the O O
former O O
Soviet B-Soviet_Union B-Soviet_Union
Union I-Soviet_Union I-Soviet_Union
for O O
a O O
period O O
of O O
18 O O
months O O
in O O
the O O
70s O O
. O O
The O O
lawyer O O
asked O O
the O O
judges O O
to O O
force O O
Abu O O
Talib O O
to O O
answer O O
the O O
question O O
aimed O O
at O O
demonstrating O O
the O O
witness O O
' O O
s O O
" O O
professional O O
terrorism O O
" O O
precedents O O
. O O
46 O O
- O O
year O O
- O O
old O O
Abu O O
Talib O O
was O O
sentenced O O
to O O
life O O
imprisonment O O
in O O
1990 O O
in O O
Sweden B-Sweden B-Sweden
for O O
terrorist O O
acts O O
in O O
Amsterdam B-Amsterdam B-Amsterdam
, O O
Copenhagen B-Copenhagen B-Copenhagen
and O O
Stockholm B-Stockholm B-Stockholm
between O O
1985 O O
and O O
1986 O O
. O O
The O O
defense O O
council O O
in O O
the O O
Lockerbie O O
court O O
is O O
attempting O O
to O O
show O O
his O O
involvement O O
in O O
the O O
Lockerbie O O
attack O O
. O O
Based O O
on O O
Scottish O O
law O O
, O O
followed O O
in O O
this O O
court O O
, O O
if O O
Abu O O
Talib O O
insists O O
on O O
not O O
responding O O
to O O
the O O
question O O
, O O
this O O
is O O
considered O O
to O O
be O O
" O O
contempt O O
of O O
court O O
" O O
and O O
means O O
he O O
may O O
be O O
punished O O
in O O
accordance O O
with O O
Scottish O O
law O O
covering O O
such O O
incidents O O
. O O
The O O
problem O O
is O O
that O O
the O O
judges O O
may O O
not O O
punish O O
Abu O O
Talib O O
unless O O
Sweden O O
hands O O
him O O
over O O
to O O
Scotland O O
after O O
the O O
court O O
case O O
ends O O
to O O
apply O O
the O O
punishment O O
for O O
contempt O O
of O O
court O O
. O O
So O O
far O O
, O O
the O O
judges O O
have O O
not O O
asked O O
Abu O O
Talib O O
to O O
answer O O
the O O
defense O O
' O O
s O O
question O O
in O O
what O O
appears O O
to O O
be O O
a O O
move O O
to O O
avoid O O
