Jerusalem	B	Jerusalem	http://en.wikipedia.org/wiki/Jerusalem	Jerusalem
Japanese				Japan
blow				
was				
fatal				
,				
especially				
since				
the				
Saudi				Saudi_Arabia
team				
holds				
the				
title				
from				
the				
previous				
series				
in				
the				
Emirates	B	Emirates	http://en.wikipedia.org/wiki/United_Arab_Emirates	Emirates_(airline)
in				
1996				
.				
				
Machala				Machala
took				
over				
training				
the				
Saudi				Saudi_Arabia
team				
in				
February				
1999				
and				
led				
it				
in				
the				
Continents				
Championship				
hosted				
by				
Mexico	B	Mexico	http://en.wikipedia.org/wiki/Mexico	Mexico
in				
July				
of				
that				
year				
.				
				
Machala				Machala
is				
considered				
one				
of				
the				
best				
-				
known				
coaches				
in				
the				
Gulf				Gulf_Oil
region				
and				
has				
achieved				
remarkable				
results				
with				
the				
Kuwaiti				Kuwait
team				
,				
which				
he				
led				
to				
win				
the				
Gulf				Gulf_Cup_of_Nations
Cup				Gulf_Cup_of_Nations
on				
two				
occasions				
and				
to				
take				
fourth				
place				
in				
the				
last				
Asian				
Nations				
Championship				
in				
the				
Emirates				Emirates_(airline)
,				
as				
well				
as				
second				
place				
in				
the				
Asian				Asian_Games
Games				Asian_Games
in				
Bangkok	B	Bangkok	http://en.wikipedia.org/wiki/Bangkok	Bangkok
in				
late				
1998				
.				
				
London	B	London	http://en.wikipedia.org/wiki/London	London
10				
-				
16				
(				
AFP	B	AFP	http://en.wikipedia.org/wiki/Agence_France-Presse	
)				
-				
A				
Saudi				
Airways				
spokesman				
in				
London				London
announced				
that				
passengers				
on				
the				
Saudi				
777				
Boeing				Boeing
,				
hijacked				
to				
Baghdad	B	Baghdad	http://en.wikipedia.org/wiki/Baghdad	Baghdad
on				
Saturday				
and				
which				
arrived				
in				
Riyadh	B	Riyadh	http://en.wikipedia.org/wiki/Riyadh	Riyadh
yesterday				
evening				
Sunday				
,				
left				
the				
Saudi				Saudi_Arabia
capital				
for				
London				London
at				
2h43				
local				
time				
(				
GMT				Greenwich_Mean_Time
22h43				
)				
,				
approximately				
30				
hours				
after				
the				
hijacking				
operation				
by				
two				
Saudi				Saudi_Arabia
hijackers				
began				
.				
				
The				
Boeing				Boeing
arrived				
at				
Riyadh	B	Riyadh_International_Airport	http://en.wikipedia.org/wiki/King_Khalid_International_Airport	
International	I	Riyadh_International_Airport	http://en.wikipedia.org/wiki/King_Khalid_International_Airport	
Airport	I	Riyadh_International_Airport	http://en.wikipedia.org/wiki/King_Khalid_International_Airport	
at				
21h30				
yesterday				
Sunday				
from				
Baghdad				Baghdad
through				
Jordanian				Jordan
air				
space				
with				
104				
passengers				
on				
board				
,				
including				
14				
crew				
members				
.				
				
Saudi				
Airways				
said				
Saturday				
that				
40				
British				United_Kingdom
,				
14				
Saudis				Saudi_Arabia
,				
15				
Pakistanis				Demographics_of_Pakistan
,				
4				
Yemenis				Yemen
and				
4				
South				South_Africa
Africans				South_Africa
,				
2				
Kenyans				Kenya
and				
an				
American				United_States
,				
Frenchman				France
,				
Spaniard				Spain
,				
Swiss				Switzerland
,				
Swede				Sweden
,				
Nigerian				Nigeria
,				
Indian				India
,				
Omani				Oman
,				
Palestinian				State_of_Palestine
and				
Lebanese				Lebanon
were				
on				
board				
the				
plane				
.				
				
Bandar	B	Bandar_Seri_Begawan	http://en.wikipedia.org/wiki/Bandar_Seri_Begawan	Bandar_Seri_Begawan
Seri	I	Bandar_Seri_Begawan	http://en.wikipedia.org/wiki/Bandar_Seri_Begawan	Bandar_Seri_Begawan
Begawan	I	Bandar_Seri_Begawan	http://en.wikipedia.org/wiki/Bandar_Seri_Begawan	Bandar_Seri_Begawan
11				
-				
15				
(				
AFP	B	AFP	http://en.wikipedia.org/wiki/Agence_France-Presse	
)				
-				
American				United_States
President				
Bill				Bill_Clinton
Clinton				Bill_Clinton
attempted				
today				
Wednesday				
to				
reassure				
money				
markets				
about				
doubts				
caused				
by				
the				
battle				
between				
the				
Republicans				Republican_Party_(United_States)
and				
Democrats				Democratic_Party_(United_States)
on				
the				
result				
of				
the				
presidential				
elections				
in				
the				
United				United_States
States				United_States
,				
which				
is				
still				
unknown				
and				
dependent				
on				
the				
results				
of				
the				
recount				
in				
the				
State	B	State_of_Florida	http://en.wikipedia.org/wiki/Florida	Florida
of	I	State_of_Florida	http://en.wikipedia.org/wiki/Florida	Florida
Florida	I	State_of_Florida	http://en.wikipedia.org/wiki/Florida	Florida
.				
				
Clinton				Bill_Clinton
told				
a				
group				
of				
businessmen				
on				
the				
periphery				
of				
the				
Asia				Asia
-				
Pacific				
Economic				
Cooperation				
forum				
in				
Brunei	B	Brunei	http://en.wikipedia.org/wiki/Brunei	Brunei
that				
one				
of				
the				
issues				
both				
Vice				
-				
President				
Al				Al_Gore
Gore				Al_Gore
and				
Governor				
George				George_W._Bush
Bush				George_W._Bush
agree				
on				
in				
these				
elections				
is				
the				
need				
to				
maintain				
a				
strong				
and				
pioneering				
role				
by				
the				
United				United_States
States				United_States
in				
order				
to				
achieve				
flourishing				
trade				
and				
greater				
integration				
for				
the				
world				
'				
s				
economy				
[				
.				
.				
.				
]				
and				
the				
world				
should				
not				
be				
concerned				
because				
the				
two				
candidates				
are				
strongly				
committed				
to				
following				
this				
path				
.				
				
The				
American				United_States
stock				
market				
saw				
an				
upheaval				
as				
a				
result				
of				
the				
delay				
in				
announcing				
the				
final				
results				
of				
the				
presidential				
elections				
in				
the				
United				United_States
States				United_States
but				
it				
improved				
on				
Tuesday				
.				
				
Initial				
results				
in				
Florida				Florida
on				
Tuesday				
evening				
showed				
Republican				Republican_Party_(United_States)
candidate				
George				George_W._Bush
Bush				George_W._Bush
to				
be				
300				
votes				
ahead				
of				
Democrat				Democratic_Party_(United_States)
candidate				
Al				Al_Gore
Gore				Al_Gore
but				
some				
voting				
stations				
were				
still				
recounting				
votes				
today				
Wednesday				
.				
				
In				
Brunei				Brunei
,				
President				
Clinton				Bill_Clinton
refused				
to				
make				
any				
predications				
about				
who				
might				
win				
the				
presidency				
in				
this				
exceptional				
election				
battle				
between				
the				
Democratic				Democratic_Party_(United_States)
and				
Republican				Republican_Party_(United_States)
candidates				
.				
				
He				
said				
we				
must				
be				
careful				
when				
we				
talk				
about				
predictions				
;				
the				
only				
thing				
I				
can				
predict				
with				
confidence				
is				
that				
I				
will				
not				
be				
taking				
part				
in				
the				
next				
Apec				Asia-Pacific_Economic_Cooperation
summit				
next				
year				
and				
at				
present				
,				
I				
can				
'				
t				
say				
who				
will				
be				
representing				
the				
United				United_States
States				United_States
.				
				
Gaza	B	Gaza	http://en.wikipedia.org/wiki/Gaza	Gaza
11				
-				
15				
(				
AFP	B	AFP	http://en.wikipedia.org/wiki/Agence_France-Presse	Agence_France-Presse
)				
-				
A				
Palestinian				State_of_Palestine
medical				
source				
reported				
today				
Wednesday				
that				
more				
than				
fifteen				
Palestinians				State_of_Palestine
were				
injured				
this				
morning				
in				
the				
town				
of				
Rafah				Rafah
in				
the				
southern				
Gaza				Gaza_Strip
Strip				Gaza_Strip
in				
clashes				
with				
the				
Israeli				Israel
army				
.				
				
Medical				
sources				
said				
at				
least				
15				
Palestinians				State_of_Palestine
were				
injured				
by				
live				
bullets				
fired				
by				
Israeli				Israel
soldiers				
,				
including				
six				
children				
all				
shot				
in				
the				
head				
.				
				
Eyewitnesses				
said				
the				
clashes				
broke				
out				
when				
the				
Israeli				Israel
army				
began				
bulldozing				
Palestinian				State_of_Palestine
land				
near				
the				
border				
with				
Egypt	B	Egypt	http://en.wikipedia.org/wiki/Egypt	Egypt
and				
opened				
fire				
randomly				
on				
Palestinian				State_of_Palestine
citizens				
when				
they				
threw				
stones				
at				
the				
soldiers				
in				
protest				
.				
An				
Israeli				Israel
tank				
also				
fired				
a				
rocket				
.				
				
Elsewhere				
,				
Israeli				Israel
bulldozers				
dug				
up				
dozens				
of				
hectares				
of				
Palestinian				State_of_Palestine
farmland				
near				
the				
village				
of				
Alkarara				
(				
near				
the				
Kosovim				
checkpoint				
)				
last				
night				
for				
the				
second				
day				
in				
a				
row				
,				
destroying				
two				
houses				
and				
a				
well				
,				
where				
the				
army				
erected				
a				
new				
military				
camp				
instead				
.				
				
The				
town				
'				
s				
authorities				
said				
last				
night				
the				
Israeli				Israel
army				
dug				
up				
several				
hectares				
planted				
with				
orange				
trees				
in				
southern				
Gaza				Gaza
(				
Nitsarim	B	Nitsarim	http://en.wikipedia.org/wiki/Netzarim_(settlement)	
)				
.				
				
The				
bulldozing				
of				
land				
began				
the				
night				
before				
last				
when				
an				
Israeli				Israel
soldier				
was				
killed				
in				
a				
shooting				
incident				
in				
the				
area				
.				
				
Bandar	B	Bandar_Seri_Begawan	http://en.wikipedia.org/wiki/Bandar_Seri_Begawan	Bandar_Seri_Begawan
Seri	I	Bandar_Seri_Begawan	http://en.wikipedia.org/wiki/Bandar_Seri_Begawan	Bandar_Seri_Begawan
Begawan	I	Bandar_Seri_Begawan	http://en.wikipedia.org/wiki/Bandar_Seri_Begawan	Bandar_Seri_Begawan
11				
-				
15				
(				
AFP	B	AFP	http://en.wikipedia.org/wiki/Agence_France-Presse	
)				
-				
A				
high				
-				
level				
American				United_States
official				
announced				
today				
Wednesday				
in				
the				
wake				
of				
the				
meeting				
between				
American				United_States
President				
Bill				Bill_Clinton
Clinton				Bill_Clinton
and				
his				
Russian				Russia
counterpart				
Vladimir				Vladimir_Putin
Putin				Vladimir_Putin
that				
Putin				Vladimir_Putin
'				
s				
proposals				
on				
reducing				
the				
Russian				Russia
and				
American				United_States
nuclear				
capability				
to				
under				
1500				
nuclear				
heads				
does				
not				
include				
many				
new				
elements				
.				
				
The				
official				
who				
wished				
to				
remain				
anonymous				
confirmed				
we				
have				
paid				
a				
great				
deal				
of				
attention				
to				
President				
Putin				Vladimir_Putin
'				
s				
announcement				
but				
it				
does				
not				
contain				
many				
new				
elements				
,				
in				
fact				
just				
a				
few				
new				
disparities				
which				
require				
further				
examination				
and				
discussion				
by				
experts				
.				
				
Clinton				Bill_Clinton
and				
Putin				Vladimir_Putin
are				
taking				
part				
in				
the				
Asia				Asia
-				
Pacific				
Economic				
Cooperation				
(				
APEC				Asia-Pacific_Economic_Cooperation
)				
forum				
in				
Bandar				Bandar_Seri_Begawan
Seri				Bandar_Seri_Begawan
Begawan				Bandar_Seri_Begawan
the				
capital				
of				
the				
Sultanate	B	Sultanate_of_Brunei	http://en.wikipedia.org/wiki/Brunei	Brunei
of	I	Sultanate_of_Brunei	http://en.wikipedia.org/wiki/Brunei	Brunei
Brunei	I	Sultanate_of_Brunei	http://en.wikipedia.org/wiki/Brunei	Brunei
.				
				
The				
presidents				
met				
for				
a				
working				
lunch				
of				
around				
75				
minutes				
.				
				
The				
American				United_States
official				
stressed				
that				
what				
is				
important				
in				
Putin				Vladimir_Putin
'				
s				
proposal				
is				
that				
it				
falls				
within				
the				
framework				
adopted				
by				
the				
United				United_States
States				United_States
and				
Russia				Russia
to				
discuss				
strategic				
issues				
from				
a				
defensive				
and				
offensive				
point				
of				
view				
.				
				
Putin				Vladimir_Putin
proposed				
limiting				
the				
Russian				Russia
and				
American				United_States
nuclear				
capabilities				
by				
reducing				
the				
number				
of				
nuclear				
heads				
to				
under				
1500				
each				
,				
a				
smaller				
number				
than				
that				
in				
the				
Russian				Russia
-				
American				
Start				
-				
3				
treaty				
currently				
being				
negotiated				
.				
				
Putin				Vladimir_Putin
proposed				
limiting				
the				
Russian				Russia
and				
American				United_States
nuclear				
capabilities				
by				
reducing				
the				
number				
of				
nuclear				
heads				
to				
under				
1500				
each				
,				
a				
smaller				
number				
than				
that				
in				
the				
Russian				Russia
-				
American				
Start				
-				
3				
treaty				
currently				
being				
negotiated				
.				
He				
proposed				
that				
the				
current				
reduction				
should				
be				
between				
2500				
to				
2000				
nuclear				
heads				
.				
				
Putin				Vladimir_Putin
said				
this				
reduction				
would				
depend				
on				
compliance				
with				
the				
Russian				Russia
-				
American				United_States
anti				
-				
ABM				Anti-ballistic_missile
missile				
treaty				
signed				
in				
1972				
,				
which				
the				
Americans				United_States
are				
attempting				
to				
amend				
to				
set				
up				
anti				
-				
missile				
defenses				
(				
NMD				Missile_defense_systems_of_various_nations
)				
.				
				
Washington				Washington,_D.C.
has				
so				
far				
confirmed				
agreeing				
to				
the				
2000				
to				
2500				
nuclear				
warhead				
ceiling				
.				
				
The				
United				United_States
States				United_States
has				
not				
taken				
a				
final				
position				
on				
the				
NMD				Missile_defense_systems_of_various_nations
system				
because				
Clinton				Bill_Clinton
,				
whose				
term				
ends				
in				
January				
,				
is				
leaving				
the				
decision				
in				
this				
matter				
to				
his				
successor				
.				
				
In				
response				
to				
a				
question				
about				
Republican				Republican_Party_(United_States)
presidential				
candidate				
George				George_W._Bush
Bush				George_W._Bush
Junior				
'				
s				
approach				
to				
deploying				
the				
NMD				Missile_defense_systems_of_various_nations
system				
,				
more				
ambitious				
than				
the				
one				
proposed				
by				
the				
Clinton				Bill_Clinton
administration				
,				
the				
American				United_States
official				
said				
the				
United				United_States
States				United_States
would				
continue				
"				
complying				
with				
the				
present				
framework				
"				
in				
these				
strategic				
discussions				
.				
				
He				
added				
while				
this				
framework				
does				
not				
reflect				
the				
basic				
interests				
of				
the				
United				United_States
States				United_States
,				
we				
feel				
it				
is				
still				
a				
valid				
approach				
in				
our				
discussions				
with				
Russia				Russia
on				
this				
matter				
.				
				
He				
also				
said				
that				
Clinton				Bill_Clinton
raised				
the				
issue				
of				
the				
transfer				
of				
sensitive				
Russian				Russia
technology				
to				
Iran	B	Iran	http://en.wikipedia.org/wiki/Iran	Iran
,				
adding				
"				
President				
Putin				Vladimir_Putin
has				
expressed				
his				
agreement				
that				
these				
are				
real				
threats				
and				
is				
strongly				
committed				
to				
limiting				
this				
,				
but				
there				
is				
still				
a				
lot				
of				
work				
to				
do				
"				
in				
this				
area				
.				
				
Clinton				Bill_Clinton
also				
touched				
on				
the				
matter				
of				
American				United_States
Edmond				
Bob				
who				
is				
being				
tried				
in				
a				
closed				
court				
in				
Russia				Russia
on				
charges				
of				
spying				
.				
				
The				
United				United_States
States				United_States
believes				
he				
is				
innocent				
of				
these				
charges				
and				
is				
demanding				
his				
release				
on				
humanitarian				
grounds				
.				
				
The				
official				
said				
Putin				Vladimir_Putin
understands				
our				
concern				
and				
we				
hope				
he				
will				
do				
something				
as				
quickly				
as				
possible				
.				
				
Gaza	B	Gaza	http://en.wikipedia.org/wiki/Gaza	Gaza
11				
-				
15				
(				
AFP	B	AFP	http://en.wikipedia.org/wiki/Agence_France-Presse	
)				
-				
A				
high				
-				
level				
Palestinian				State_of_Palestine
source				
said				
today				
Wednesday				
that				
the				
Palestinian	B	Palestinian_Superior_Security_Council	--NME--	
Superior	I	Palestinian_Superior_Security_Council	--NME--	
Security	I	Palestinian_Superior_Security_Council	--NME--	
Council	I	Palestinian_Superior_Security_Council	--NME--	
led				
by				
President				
Yasser				Yasser_Arafat
Arafat				Yasser_Arafat
issued				
orders				
to				
stop				
shooting				
inside				
area	B	area_'A'	--NME--	
'	I	area_'A'	--NME--	
A	I	area_'A'	--NME--	
'	I	area_'A'	--NME--	
under				
Palestinian				State_of_Palestine
control				
.				
				
The				
source				
said				
that				
"				
the				
Palestinian				
Superior				
Security				
Council				
led				
by				
President				
Yasser				Yasser_Arafat
Arafat				Yasser_Arafat
issued				
orders				
to				
stop				
unknown				
armed				
persons				
from				
shooting				
inside				
zone				
"				
A				
"				
under				
complete				
Palestinian				State_of_Palestine
control				
and				
between				
buildings				
and				
civilians				
in				
the				
Palestinian				Palestinian_territories
Territories				Palestinian_territories
.				
				
The				
Palestinian				State_of_Palestine
decision				
comes				
a				
few				
hours				
before				
discussions				
between				
Israeli				Israel
Prime				
Minister				
Ehud				Ehud_Barak
Barak				Ehud_Barak
and				
his				
top				
security				
advisors				
to				
explore				
the				
measures				
to				
be				
taken				
against				
Palestinians				State_of_Palestine
after				
four				
Israeli				Israel
soldiers				
were				
shot				
in				
Palestinian				State_of_Palestine
areas				
last				
Monday				
.				
				
Camp	B	Camp_Zeist	http://en.wikipedia.org/wiki/Zeist	Scottish_Court_in_the_Netherlands
Zeist	I	Camp_Zeist	http://en.wikipedia.org/wiki/Zeist	Scottish_Court_in_the_Netherlands
(				
Holland	B	Holland	http://en.wikipedia.org/wiki/Holland	Netherlands
)				
11				
-				
15				
(				
AFP	B	AFP	http://en.wikipedia.org/wiki/Agence_France-Presse	
)				
-				
Today				
Wednesday				
,				
the				
judges				
in				
charge				
of				
looking				
into				
the				
Lockerbie				Lockerbie
case				
in				
Camp				Scottish_Court_in_the_Netherlands
Zeist				Scottish_Court_in_the_Netherlands
(				
Holland				Holland
)				
were				
faced				
with				
an				
awkward				
problem				
:				
how				
to				
deal				
with				
a				
witness				
who				
is				
refusing				
to				
answer				
questions				
and				
who				
is				
at				
the				
same				
time				
serving				
a				
life				
sentence				
and				
who				
is				
not				
subject				
to				
Scottish				Scotland
law				
?				
				
The				
problem				
arose				
after				
Palestinian				State_of_Palestine
Mahmood				
Abu				
Talib				
,				
whose				
testimony				
the				
court				
has				
been				
hearing				
since				
Friday				
,				
refused				
to				
continue				
answering				
a				
question				
by				
defense				
lawyer				
Richard				Richard_Keen
Keen				Richard_Keen
about				
the				
detailed				
reasons				
for				
his				
having				
lived				
in				
the				
former				
Soviet	B	Soviet_Union	http://en.wikipedia.org/wiki/Soviet_Union	Soviet_Union
Union	I	Soviet_Union	http://en.wikipedia.org/wiki/Soviet_Union	Soviet_Union
for				
a				
period				
of				
18				
months				
in				
the				
70s				
.				
				
The				
lawyer				
asked				
the				
judges				
to				
force				
Abu				Abu_Talib_ibn_Abdul-Muttalib
Talib				Abu_Talib_ibn_Abdul-Muttalib
to				
answer				
the				
question				
aimed				
at				
demonstrating				
the				
witness				
'				
s				
"				
professional				
terrorism				
