Bandar B-Bandar_Seri_Begawan B-Bandar_Seri_Begawan
the O O
votes O O
cast O O
in O O
its O O
very O O
tight O O
US O O
Senate O O
race O O
. O O
Jennifer O O
Nesan O O
reports O O
from O O
member O O
station O O
KPLU O O
in O O
Seattle B-Seattle B-Seattle
. O O
The O O
recount O O
of O O
the O O
votes O O
cast O O
for O O
Democrat O O
Maria O O
Catwell O O
and O O
Republican O O
Senator O O
Slate O O
Gordon O O
is O O
calm O O
and O O
organized O O
. O O
The O O
State O O
's O O
Elections O O
Director O O
Garry O O
Macintosh O O
says O O
the O O
process O O
is O O
about O O
as O O
exciting O O
as O O
watching O O
paint O O
dry O O
. O O
There O O
are O O
a O O
lot O O
of O O
things O O
about O O
the O O
election O O
's O O
process O O
I O O
think O O
that O O
are O O
fairly O O
complex O O
. O O
This O O
is O O
n't O O
probably O O
one O O
of O O
them O O
. O O
Catwell O O
leads O O
Republican O O
incumbent O O
Slate O O
Gordon O O
by O O
fewer O O
then O O
2000 O O
votes O O
. O O
At O O
this O O
point O O
neither O O
of O O
the O O
candidates O O
plan O O
to O O
contest O O
any O O
of O O
the O O
votes O O
. O O
State O O
law O O
requires O O
a O O
recount O O
when O O
the O O
margin O O
of O O
victory O O
is O O
less O O
than O O
one O O
half O O
of O O
1 O O
percent O O
. O O
The O O
recount O O
is O O
expected O O
to O O
be O O
completed O O
by O O
the O O
end O O
of O O
the O O
week O O
. O O
No O O
statewide O O
recount O O
in O O
Washington O O
has O O
ever O O
changed O O
the O O
initial O O
outcome O O
. O O
For O O
NPR O O
news O O
, O O
I O O
'm O O
Jennifer O O
Nesan O O
in O O
Seattle O O
. O O
DOCEND O O
Baghdad B-Baghdad B-Baghdad
11-15 O O
( O O
AFP B-Agence_France-Presse B-Agence_France-Presse
) O O
- O O
The O O
head O O
of O O
the O O
French O O
Interests O O
Section O O
in O O
Baghdad O O
, O O
Ambassador O O
Andre O O
Janier O O
, O O
today O O
Wednesday O O
welcomed O O
Iraq B-Iraq B-Iraq
's O O
decision O O
to O O
deal O O
in O O
euros O O
and O O
said O O
this O O
would O O
encourage O O
relations O O
between O O
the O O
two O O
countries O O
. O O
In O O
an O O
interview O O
in O O
today O O
's O O
edition O O
of O O
the O O
official O O
newspaper O O
`` O O
al-Jamhouriya O O
, O O
'' O O
Janier O O
said O O
`` O O
we O O
French O O
believe O O
this O O
decision O O
is O O
positive O O
for O O
the O O
international O O
economy O O
, O O
and O O
this O O
decision O O
encourages O O
economic O O
relations O O
, O O
especially O O
in O O
terms O O
of O O
oil O O
, O O
between O O
Iraq O O
and O O
France O O
. O O
'' O O
The O O
French O O
diplomat O O
carried O O
on O O
to O O
say O O
`` O O
we O O
have O O
a O O
vested O O
interest O O
in O O
this O O
matter O O
as O O
Europeans O O
and O O
French O O
because O O
all O O
trade O O
payments O O
and O O
exchanges O O
are O O
paid O O
in O O
euros O O
and O O
there O O
is O O
no O O
danger O O
to O O
European O O
and O O
French O O
companies O O
because O O
of O O
fluctuations O O
in O O
the O O
price O O
of O O
the O O
dollar O O
on O O
the O O
stock O O
exchange O O
. O O
This O O
compensates O O
for O O
any O O
loss O O
in O O
buying O O
and O O
selling O O
in O O
euros O O
rather O O
than O O
dollars O O
. O O
'' O O
Iraq O O
decided O O
to O O
deal O O
in O O
euros O O
, O O
rather O O
than O O
the O O
dollar O O
, O O
as O O
of O O
the O O
sixth O O
of O O
this O O
month O O
for O O
its O O
oil O O
sales O O
and O O
outside O O
trade O O
deals O O
. O O
DOCEND O O
Tallahassee B-Tallahassee,_Florida B-Tallahassee,_Florida
( O O
United B-United_States B-United_States
States I-United_States I-United_States
) O O
11-15 O O
( O O
AFP B-Agence_France-Presse O
) O O
- O O
The O O
Supreme B-Supreme_Court_of_Florida B-Supreme_Court_(disambiguation)
Court I-Supreme_Court_of_Florida I-Supreme_Court_(disambiguation)
in O O
Florida B-Florida B-Florida
today O O
Wednesday O O
refused O O
the O O
application O O
by O O
the O O
state O O
's O O
authorities O O
to O O
stop O O
the O O
new O O
hand O O
count O O
of O O
votes O O
in O O
some O O
counties O O
. O O
DOCEND O O
Beirut B-Beirut B-Beirut
8-15 O O
( O O
AFP B-Agence_France-Presse B-Agence_France-Presse
) O O
- O O
Lebanon B-Lebanon B-Lebanon
has O O
asked O O
the O O
international O O
peacekeeping O O
force O O
operating O O
in O O
the O O
south O O
to O O
investigate O O
reports O O
indicating O O
that O O
Israel B-Israel B-Israel
is O O
penetrating O O
the O O
shared O O
border O O
between O O
the O O
two O O
countries O O
and O O
to O O
prevent O O
this O O
from O O
happening O O
. O O
According O O
to O O
official O O
sources O O
, O O
the O O
Lebanese O O
authorities O O
contacted O O
the O O
peacekeeping O O
high O O
command O O
and O O
asked O O
it O O
to O O
put O O
an O O
end O O
to O O
infringements O O
by O O
Israel O O
, O O
which O O
is O O
carrying O O
out O O
operations O O
inside O O
Lebanese O O
territory O O
, O O
in O O
particular O O
dumping O O
sand O O
and O O
building O O
slopes O O
. O O
The O O
source O O
added O O
that O O
if O O
this O O
is O O
confirmed O O
, O O
then O O
such O O
acts O O
constitute O O
a O O
provocation O O
and O O
an O O
infringement O O
of O O
Lebanese O O
sovereignty O O
. O O
Witnesses O O
said O O
two O O
Israeli O O
bulldozers O O
started O O
work O O
today O O
Tuesday O O
on O O
a O O
slope O O
in O O
the O O
Abbad O O
sector O O
inside O O
Lebanese O O
territory O O
on O O
the O O
border O O
between O O
Lebanon O O
and O O
Israel O O
. O O
These O O
witnesses O O
told O O
Agence O O
France O O
Presse O O
that O O
an O O
Israeli O O
army O O
patrol O O
equipped O O
with O O
ultra-modern O O
binoculars O O
penetrated O O
a O O
few O O
meters O O
into O O
Lebanese O O
territory O O
but O O
withdrew O O
back O O
to O O
Israeli O O
territory O O
as O O
soon O O
as O O
a O O
peacekeeping O O
patrol O O
arrived O O
. O O
Families O O
in O O
southern O O
Lebanon O O
visit O O
this O O
area O O
where O O
, O O
according O O
to O O
tradition O O
, O O
the O O
burial O O
site O O
of O O
Sheikh O O
Abbad O O
, O O
who O O
died O O
500 O O
years O O
ago O O
, O O
is O O
located O O
. O O
For O O
their O O
part O O
, O O
Israelis O O
also O O
regard O O
the O O
site O O
as O O
a O O
shrine O O
because O O
, O O
according O O
to O O
them O O
, O O
Rabbi O O
Ashi O O
lived O O
there O O
in O O
the O O
5th O O
century O O
. O O
The O O
Israeli O O
army O O
had O O
previously O O
carried O O
out O O
operations O O
inside O O
Lebanese O O
territory O O
in O O
the O O
same O O
border O O
region O O
on O O
August O O
11 O O
. O O
Last O O
Friday O O
, O O
an O O
Israeli O O
bulldozer O O
crossed O O
the O O
wire O O
fence O O
in O O
Wadi O O
Marjayoun O O
near O O
the O O
Israeli O O
village O O
of O O
Matla O O
and O O
spread O O
sand O O
over O O
a O O
length O O
of O O
hundreds O O
of O O
meters O O
and O O
a O O
width O O
of O O
six O O
meters O O
in O O
order O O
to O O
expose O O
the O O
footprints O O
of O O
people O O
crossing O O
the O O
border O O
or O O
tire O O
prints O O
of O O
cars O O
from O O
the O O
Lebanese O O
side O O
. O O
DOCEND O O
The O O
US O O
navy B-United_States_Navy O
now O O
says O O
the O O
USS B-USS_Cole_(DDG-67) O
Cole I-USS_Cole_(DDG-67) B-USS_Cole_(DDG-67)
was O O
being O O
refueled O O
when O O
an O O
explosion O O
ripped O O
through O O
it O O
in O O
Yemen B-Yemen B-Yemen
last O O
week O O
, O O
killing O O
17 O O
. O O
The O O
revised O O
accounting O O
of O O
the O O
incident O O
was O O
given O O
in O O
a O O
navy O O
statement O O
Friday O O
raising O O
new O O
questions O O
about O O
how O O
the O O
small O O
boat O O
carrying O O
the O O
explosives O O
was O O
able O O
to O O
get O O
near O O
the O O
ship O O
and O O
set O O
off O O
the O O
blast O O
. O O
DOCEND O O
Jerusalem B-Jerusalem B-Jerusalem
11-15 O O
( O O
AFP B-Agence_France-Presse O
) O O
- O O
Official O O
Israeli O O
radio O O
reported O O
that O O
the O O
lesser O O
security O O
cabinet O O
which O O
met O O
this O O
evening O O
Wednesday O O
has O O
made O O
a O O
series O O
of O O
practical O O
decisions O O
pointing O O
to O O
its O O
desire O O
to O O
avoid O O
confrontations O O
with O O
the O O
Palestinians O O
. O O
The O O
radio O O
reported O O
`` O O
senior O O
political O O
officials O O
'' O O
as O O
saying O O
at O O
the O O
close O O
of O O
the O O
security O O
cabinet O O
's O O
meeting O O
, O O
chaired O O
by O O
Prime O O
Minister O O
Ehud O O
Barak O O
, O O
that O O
the O O
army O O
would O O
continue O O
with O O
the O O
procedure O O
it O O
has O O
followed O O
over O O
the O O
past O O
days O O
and O O
that O O
there O O
would O O
be O O
no O O
escalation O O
. O O
Military O O
officials O O
who O O
also O O
attended O O
the O O
meeting O O
that O O
Palestinian O O
President O O
Yasser O O
Arafat O O
`` O O
wants O O
to O O
drag O O
Israel O O
into O O
an O O
escalation O O
which O O
would O O
lead O O
to O O
international O O
intervention O O
. O O
'' O O
The O O
head O O
of O O
the O O
prime O O
minister O O
's O O
office O O
, O O
Jalaad O O
Shir O O
, O O
had O O
previously O O
said O O
on O O
official O O
television O O
that O O
`` O O
a O O
compromise O O
must O O
be O O
found O O
between O O
a O O
studied O O
response O O
not O O
leading O O
to O O
escalation O O
and O O
the O O
need O O
to O O
pave O O
the O O
way O O
for O O
political O O
openness O O
, O O
on O O
the O O
condition O O
that O O
the O O
Palestinians O O
resolutely O O
stop O O
the O O
violence O O
and O O
incitement O O
to O O
violence O O
. O O
'' O O
Shir O O
added O O
`` O O
only O O
then O O
will O O
it O O
be O O
possible O O
to O O
think O O
about O O
resuming O O
the O O
political O O
process O O
and O O
on O O
what O O
basis O O
. O O
'' O O
The O O
security O O
cabinet O O
was O O
convened O O
to O O
a O O
session O O
with O O
the O O
aim O O
of O O
examining O O
new O O
measures O O
to O O
deal O O
with O O
the O O
escalation O O
in O O
attacks O O
against O O
Israelis O O
in O O
the O O
West O O
Bank O O
and O O
Gaza O O
Strip O O
. O O
Last O O
week O O
, O O
Barak O O
gave O O
his O O
consent O O
, O O
for O O
the O O
first O O
time O O
since O O
the O O
Intifada O O
began O O
, O O
to O O
elimination O O
of O O
Hussein O O
Abiyat O O
the O O
military O O
leader O O
of O O
Fatah O O
movement O O
led O O
by O O
Arafat O O
killed O O
when O O
a O O
missile O O
fired O O
from O O
a O O
combat O O
helicopter O O
targeted O O
his O O
car O O
. O O
Israeli O O
security O O
forces O O
arrested O O
15 O O
Fatah O O
officials O O
in O O
the O O
West B-West_Bank B-West_Bank
Bank I-West_Bank I-West_Bank
on O O
the O O
night O O
of O O
Tuesday O O
to O O
Wednesday O O
. O O
In O O
his O O
statement O O
, O O
Barak O O
praised O O
this O O
operation O O
and O O
the O O
elimination O O
of O O
Abiyat O O
, O O
stressing O O
that O O
this O O
policy O O
would O O
continue O O
. O O
He O O
said O O
`` O O
the O O
long O O
arm O O
of O O
our O O
forces O O
will O O
reach O O
those O O
who O O
attack O O
our O O
civilians O O
and O O
soldiers O O
. O O
'' O O
DOCEND O O
The O O
Palestinian O O
faction O O
headed O O
by O O
Yasser B-Yasser_Arafat B-Yasser_Arafat
Arafat I-Yasser_Arafat I-Yasser_Arafat
said O O
today O O
that O O
, O O
it O O
will O O
avenge O O
the O O
deaths O O
of O O
four O O
of O O
its O O
members O O
who O O
were O O
killed O O
today O O
by O O
Israeli O O
soldiers O O
. O O
Later O O
in O O
the O O
day O O
, O O
a O O
car O O
bombing O O
in O O
the O O
Northern O O
Israeli O O
town O O
of O O
Hadera O O
, O O
killed O O
two O O
people O O
and O O
injured O O
at O O
least O O
50 O O
. O O
Israeli O O
Prime O O
Minister O O
Ehud O O
Barak O O
said O O
he O O
would O O
retaliate O O
. O O
Corey B-Corey_Flintoff B-Corey_Flintoff
Flintoff I-Corey_Flintoff I-Corey_Flintoff
, O O
NPR B-NPR B-NPR
news I-NPR O
, O O
Washington B-Washington,_D.C. B-Washington,_D.C.
. O O
DOCEND O O
Gaza B-Gaza B-Gaza
11-15 O O
( O O
AFP B-Agence_France-Presse O
) O O
- O O
A O O
high-level O O
Palestinian O O
source O O
said O O
today O O
Wednesday O O
that O O
the O O
Palestinian O O
Superior O O
Security O O
Council O O
led O O
by O O
President O O
Yasser O O
Arafat O O
issued O O
orders O O
to O O
stop O O
shooting O O
inside O O
area O O
`` O O
A O O
'' O O
under O O
Palestinian O O
control O O
. O O
The O O
source O O
said O O
that O O
`` O O
the O O
Palestinian O O
Superior O O
Security O O
Council O O
led O O
by O O
President O O
Yasser O O
Arafat O O
issued O O
orders O O
to O O
stop O O
unknown O O
armed O O
persons O O
from O O
shooting O O
inside O O
zone O O
`` O O
A O O
'' O O
under O O
complete O O
Palestinian O O
control O O
and O O
between O O
buildings O O
and O O
civilians O O
in O O
the O O
Palestinian O O
Territories O O
. O O
'' O O
The O O
Palestinian O O
decision O O
comes O O
a O O
few O O
hours O O
before O O
discussions O O
between O O
Israeli O O
Prime O O
Minister O O
Ehud O O
Barak O O
and O O
his O O
top O O
security O O
advisors O O
to O O
explore O O
the O O
measures O O
to O O
be O O
taken O O
against O O
Palestinians O O
after O O
four O O
Israeli O O
soldiers O O
were O O
shot O O
in O O
Palestinian O O
areas O O
last O O
Monday O O
. O O
DOCEND O O
Jerusalem B-Jerusalem B-Jerusalem
7-15 O O
( O O
AFP B-Agence_France-Presse O
) O O
- O O
A O O
high O O
level O O
Israeli O O
army O O
official O O
has O O
said O O
today O O
Saturday O O
that O O
Israel O O
believes O O
Iran B-Iran B-Iran
is O O
set O O
to O O
begin O O
acquiring O O
nuclear O O
capability O O
for O O
military O O
purposes O O
from O O
2005 O O
and O O
will O O
be O O
in O O
a O O
position O O
to O O
equip O O
missiles O O
with O O
nuclear O O
warheads O O
, O O
capable O O
of O O
reaching O O
Israel O O
, O O
within O O
ten O O
years O O
. O O
The O O
official O O
, O O
who O O
wished O O
to O O
remain O O
anonymous O O
, O O
told O O
journalists O O
: O O
`` O O
Iran O O
will O O
start O O
accumulating O O
nuclear O O
capability O O
for O O
military O O
purposes O O
from O O
2005 O O
and O O
will O O
be O O
in O O
a O O
position O O
, O O
within O O
the O O
space O O
of O O
10 O O
years O O
, O O
to O O
produce O O
nuclear O O
warheads O O
that O O
can O O
be O O
fitted O O
to O O
missiles O O
capable O O
of O O
striking O O
Israel O O
. O O
'' O O
The O O
official O O
made O O
these O O
statements O O
after O O
Tehran O O
announced O O
today O O
Saturday O O
that O O
it O O
had O O
`` O O
successfully O O
'' O O
completed O O
a O O
new O O
test O O
on O O
the O O
Shahab O O
3 O O
ground-ground O O
missile O O
with O O
a O O
range O O
of O O
1300 O O
kilometers O O
. O O
The O O
official O O
further O O
said O O
: O O
`` O O
Iran O O
is O O
not O O
capable O O
of O O
developing O O
a O O
nuclear O O
program O O
without O O
Moscow B-Moscow B-Moscow
's O O
help O O
. O O
'' O O
He O O
said O O
that O O
according O O
to O O
information O O
obtained O O
by O O
Israel O O
, O O
tests O O
on O O
the O O
Shahab O O
3 O O
ground-ground O O
missile O O
were O O
in O O
fact O O
`` O O
successful O O
and O O
reached O O
their O O
maximum O O
range O O
of O O
1300 O O
kilometers O O
which O O
allows O O
them O O
to O O
reach O O
strategic O O
centers O O
in O O
Israel O O
. O O
'' O O
The O O
official O O
said O O
that O O
the O O
design O O
of O O
the O O
Shahab O O
missile O O
is O O
based O O
on O O
a O O
North O O
Korean O O
missile O O
called O O
Nodong O O
, O O
itself O O
developed O O
from O O
the O O
Soviet O O
Scud O O
missile O O
. O O
The O O
official O O
also O O
stressed O O
that O O
Iran O O
regards O O
the O O
`` O O
destruction O O
of O O
Israel O O
as O O
legitimate O O
, O O
'' O O
saying O O
that O O
`` O O
Tehran O O
is O O
embroiled O O
in O O
strategic O O
terrorist O O
activities O O
targeting O O
Israel O O
, O O
especially O O
alongside O O
Palestinian O O
and O O
Lebanese O O
organizations O O
. O O
'' O O
The O O
official O O
further O O
considered O O
that O O
`` O O
the O O
Shahab O O
missile O O
will O O
not O O
come O O
into O O
operation O O
for O O
two O O
years O O
and O O
that O O
an O O
improved O O
range O O
of O O
2000 O O
kilometers O O
would O O
only O O
be O O
achieved O O
after O O
this O O
period O O
. O O
'' O O
Israel O O
's O O
Deputy O O
Defense O O
Minister O O
, O O
Ephraim O O
Sneh O O
, O O
said O O
today O O
Saturday O O
that O O
Israel O O
would O O
`` O O
know O O
how O O
to O O
find O O
a O O
suitable O O
response O O
'' O O
to O O
the O O
Iranian O O
Shahab O O
3 O O
ground-ground O O
missile O O
with O O
a O O
1300 O O
kilometer O O
range O O
. O O
Sneh O O
said O O
on O O
army O O
radio O O
that O O
`` O O
Israel O O
will O O
prepare O O
itself O O
to O O
find O O
a O O
suitable O O
response O O
to O O
this O O
threat O O
, O O
'' O O
without O O
giving O O
any O O
further O O
details O O
. O O
The O O
Iranian O O
army O O
announced O O
today O O
Saturday O O
that O O
it O O
had O O
`` O O
successfully O O
'' O O
completed O O
a O O
new O O
test O O
on O O
Shahab O O
3 O O
ground-ground O O
missiles O O
. O O
An O O
official O O
at O O
the O O
Iranian O O
Ministry B-Ministry_of_Defense_and_Armed_Forces_Logistics_(Iran) B-Ministry_of_Defense_(Israel)
of I-Ministry_of_Defense_and_Armed_Forces_Logistics_(Iran) I-Ministry_of_Defense_(Israel)
Defense I-Ministry_of_Defense_and_Armed_Forces_Logistics_(Iran) I-Ministry_of_Defense_(Israel)
told O O
Tehran O O
Radio O O
that O O
the O O
`` O O
Shahab O O
3 O O
defense O O
missile O O
was O O
tested O O
a O O
second O O
time O O
to O O
ensure O O
it O O
conforms O O
to O O
international O O
standards O O
. O O
'' O O
In O O
July O O
1998 O O
, O O
the O O
first O O
test O O
on O O
this O O
missile O O
was O O
announced O O
. O O
It O O
is O O
capable O O
of O O
reaching O O
the O O
majority O O
of O O
countries O O
in O O
the O O
region O O
, O O
including O O
Israel O O
. O O
DOCEND O O
Beirut B-Beirut B-Beirut
10-15 O O
( O O
AFP B-Agence_France-Presse O
) O O
- O O
The O O
Saudi O O
Soccer O O
Federation O O
sacked O O
the O O
team O O
's O O
Czech O O
coach O O
Milan O O
Machala O O
from O O
his O O
post O O
today O O
Sunday O O
and O O
appointed O O
his O O
assistant O O
, O O
Nasser O O
Jawhar O O
, O O
in O O
his O O
place O O
. O O
The O O
title-holding O O
Saudi O O
team O O
suffered O O
a O O
bitter O O
defeat O O
( O O
1-4 O O
) O O
against O O
its O O
Japanese O O
counterpart O O
in O O
its O O
first O O
match O O
in O O
the O O
championship O O
yesterday O O
Saturday O O
. O O
The O O
Youth O O
and O O
Sports O O
Bureau O O
in O O
Saudi O O
Arabia O O
released O O
a O O
statement O O
saying O O
: O O
`` O O
Prince O O
Sultan O O
Ben O O
Fahd O O
, O O
president O O
of O O
the O O
Youth O O
and O O
Sports O O
Bureau O O
and O O
president O O
of O O
the O O
Saudi O O
Soccer O O
Federation O O
, O O
has O O
issued O O
a O O
decision O O
by O O
order O O
of O O
which O O
Czech O O
coach O O
Machala O O
has O O
been O O
discharged O O
and O O
Nasser O O
Jawhar O O
has O O
been O O
placed O O
in O O
charge O O
of O O
training O O
the O O
team O O
during O O
the O O
championship O O
. O O
'' O O
He O O
carried O O
on O O
: O O
`` O O
This O O
decision O O
is O O
the O O
result O O
of O O
the O O
Saudi O O
Federation O O
ensuring O O
the O O
best O O
technical O O
conditions O O
for O O
the O O
team O O
in O O
order O O
to O O
reflect O O
the O O
true O O
level O O
of O O
Saudi O O
soccer O O
. O O
'' O O
In O O
a O O
telephone O O
call O O
with O O
Agence O O
France O O
Presse O O
at O O
his O O
hotel O O
, O O
Machala O O
refused O O
to O O
give O O
his O O
opinion O O
regarding O O
the O O
decision O O
and O O
said O O
`` O O
no O O
comment O O
. O O
'' O O
Machala O O
is O O
the O O
first O O
victim O O
of O O
the O O
12th O O
Asian O O
Nations O O
Cup O O
finals O O
hosted O O
by O O
Lebanon B-Lebanon B-Lebanon
until O O
this O O
October O O
29 O O
as O O
the O O
Japanese O O
blow O O
was O O
fatal O O
, O O
especially O O
since O O
the O O
Saudi O O
team O O
holds O O
the O O
title O O
from O O
the O O
previous O O
series O O
in O O
the O O
Emirates B-United_Arab_Emirates B-Emirates_(airline)
in O O
1996 O O
. O O
Machala O O
took O O
over O O
training O O
the O O
Saudi O O
team O O
in O O
February O O
1999 O O
and O O
